determinant,CARD appelation,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT,gene_drug_class
,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC3_VIa,AAC(3)-VIa,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA,,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA12,AadA12,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA13,aadA13,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA17,aadA17,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA2,aadA2,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA22,aadA22,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA25,aadA25,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA5,aadA5,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA9,aadA9,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
abeM,abeM,,,,,,,,,,,,,1,,,,1,,,,,,1,,"tetracycline, glycylcycline, fluoroquinolone, acridine dye, triclosan"
abeS,abeS,,,1,,,,,,,,,1,,1,,,,,1,,,,1,,"phenicol, aminoglycoside, macrolide, aminocoumarin, tetracycline "
Acib_AbaF,Acinetobacter baumannii AbaF,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline, diaminopyrimidine, oxazolidinone, benzalkonium chloride, nitroimidazole, peptide, cephalosporin, rifamycin, penam, fluoroquinolone, phenicol, glycylcycline, acridine dye, macrolide, nucleoside, bicyclomycin, fosfomycin, antibacterial free fatty acids, isoniazid, lincosamide, rhodamine"
Acib_AbaQ,Acinetobacter baumannii AbaQ,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline, rhodamine, benzalkonium chloride, acridine dye, bicyclomycin, nucleoside, penam, lincosamide, isoniazid, fluoroquinolone, nitroimidazole, peptide, antibacterial free fatty acids, phenicol, diaminopyrimidine, cephalosporin, macrolide, rifamycin, fosfomycin, oxazolidinone, glycylcycline"
Acib_AmvA,Acinetobacter baumannii AmvA,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline, glycylcycline, acridine dye, antibacterial free fatty acids, bicyclomycin, nitroimidazole, rhodamine, lincosamide, macrolide, diaminopyrimidine, oxazolidinone, peptide, fosfomycin, penam, benzalkonium chloride, isoniazid, fluoroquinolone, phenicol, rifamycin, nucleoside, cephalosporin"
acrD,acrD,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
AcrS,AcrS,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,1,,"tetracycline, glycylcycline, rifamycin, phenicol, fluoroquinolone, penam, cephamycin, cephalosporin, triclosan"
ACT_10,ACT-10,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"cephalosporin, cephamycin, penam, carbapenem"
ACT_12,ACT-12,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"penam, cephamycin, carbapenem, cephalosporin"
ACT_17,ACT-17,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"penam, carbapenem, cephamycin, cephalosporin"
ACT_2,ACT-2,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"penam, cephamycin, carbapenem, cephalosporin"
ACT_38,ACT-38,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"cephalosporin, cephamycin, penam, carbapenem"
ADC_60,ADC-60,,,,1,1,1,,1,1,1,1,,,,,,,,,,1,1,,,cephalosporin
adeA,adeA,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline, diaminopyrimidine, aminoglycoside, macrolide, acridine dye, triclosan, carbapenem, phenicol, fluoroquinolone, antibacterial free fatty acids, glycylcycline, penam, aminocoumarin, monobactam"
adeB,adeB,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline antibiotic, macrolide antibiotic, glycylcycline, aminoglycoside antibiotic, fluoroquinolone antibiotic, diaminopyrimidine antibiotic, carbapenem, monobactam, triclosan, antibacterial free fatty acids, aminocoumarin antibiotic, acridine dye, phenicol antibiotic, penam"
adeF,adeF,,,,,,,,,,,,,1,,,,1,,,,,,1,,"tetracycline, fluoroquinolone"
adeG,adeG,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline antibiotic, acridine dye, glycylcycline, diaminopyrimidine antibiotic, carbapenem, macrolide antibiotic, phenicol antibiotic, penam, antibacterial free fatty acids, aminocoumarin antibiotic, aminoglycoside antibiotic, fluoroquinolone antibiotic, triclosan, monobactam"
adeH,adeH,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline antibiotic, triclosan, fluoroquinolone antibiotic, monobactam, macrolide antibiotic, acridine dye, glycylcycline, aminoglycoside antibiotic, phenicol antibiotic, penam, carbapenem, diaminopyrimidine antibiotic, antibacterial free fatty acids, aminocoumarin antibiotic"
adeI,adeI,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, penam, glycylcycline, diaminopyrimidine antibiotic, fluoroquinolone antibiotic, carbapenem, phenicol antibiotic, penem, triclosan, rifamycin antibiotic, antibacterial free fatty acids, aminoglycoside antibiotic, macrolide antibiotic, monobactam, acridine dye, aminocoumarin antibiotic, lincosamide antibiotic, cephalosporin"
adeJ,adeJ,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, penem, penam, diaminopyrimidine antibiotic, rifamycin antibiotic, carbapenem, phenicol antibiotic, monobactam, fluoroquinolone antibiotic, triclosan, acridine dye, glycylcycline, macrolide antibiotic, aminocoumarin antibiotic, aminoglycoside antibiotic, antibacterial free fatty acids, cephalosporin, lincosamide antibiotic"
adeK,adeK,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, carbapenem, monobactam, phenicol antibiotic, penam, glycylcycline, antibacterial free fatty acids, diaminopyrimidine antibiotic, fluoroquinolone antibiotic, penem, macrolide antibiotic, aminocoumarin antibiotic, triclosan, rifamycin antibiotic, acridine dye, aminoglycoside antibiotic, lincosamide antibiotic, cephalosporin"
adeL,adeL,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline antibiotic, diaminopyrimidine antibiotic, monobactam, carbapenem, triclosan, antibacterial free fatty acids, acridine dye, glycylcycline, aminocoumarin antibiotic, aminoglycoside antibiotic, macrolide antibiotic, fluoroquinolone antibiotic, penam, phenicol antibiotic"
adeN,adeN,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, diaminopyrimidine antibiotic, penam, glycylcycline, triclosan, acridine dye, rifamycin antibiotic, phenicol antibiotic, aminoglycoside antibiotic, antibacterial free fatty acids, penem, aminocoumarin antibiotic, fluoroquinolone antibiotic, carbapenem, monobactam, macrolide antibiotic, lincosamide antibiotic, cephalosporin"
adeR,adeR,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline antibiotic, aminocoumarin antibiotic, carbapenem, macrolide antibiotic, antibacterial free fatty acids, penam, diaminopyrimidine antibiotic, fluoroquinolone antibiotic, glycylcycline, aminoglycoside antibiotic, monobactam, triclosan, phenicol antibiotic, acridine dye"
adeS,adeS,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,"tetracycline antibiotic, monobactam, carbapenem, penam, antibacterial free fatty acids, acridine dye, macrolide antibiotic, phenicol antibiotic, diaminopyrimidine antibiotic, glycylcycline, fluoroquinolone antibiotic, aminocoumarin antibiotic, aminoglycoside antibiotic, triclosan"
ampS,ampS,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penam, cephalosporin"
ANT2_Ia,ANT(2'')-Ia,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
ANT3_IIa,ANT(3'')-IIa,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
ANT3_IIb,ANT(3'')-IIb,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
APH3_Ib,APH(3'')-Ib,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
APH3_Ia,APH(3')-Ia,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
APH6_Id,APH(6)-Id,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
bacA,bacA,,,,,,,,,,,,,,,,,,,,,,,,,peptide antibiotic (bacitracin)
baeR,baeR,,,,,,,,,,,,,,1,,,,,1,,,,,,"aminocoumarin, aminoglycoside"
baeS,baeS,,,,,,,,,,,,,,1,,,,,1,,,,,,"aminocoumarin, aminoglycoside"
catI,catI,,,,,,,,,,,,1,,,,,,,,,,,,,phenicol
cmlA8,cmlA8,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline antibiotic, macrolide antibiotic, rhodamine, penam, oxazolidinone antibiotic, benzalkonium chloride, nucleoside antibiotic, bicyclomycin, nitroimidazole antibiotic, phenicol antibiotic, diaminopyrimidine antibiotic, fluoroquinolone antibiotic, isoniazid, peptide antibiotic, antibacterial free fatty acids, rifamycin antibiotic, glycylcycline, fosfomycin, lincosamide antibiotic, acridine dye, cephalosporin"
CMY_2,CMY-2,,,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,,,"cephamycin, cephalosporin"
CMY_21,CMY-21,,,,,,,1,,,,,,,,,,,,,,,,,,cephamycin
CMY_36,CMY-36,,,,,,,1,,,,,,,,,,,,,,,,,,cephamycin
CMY_72,CMY-72,,,,,,,1,,,,,,,,,,,,,,,,,,cephamycin
CMY_82,CMY-82,,,,,,,1,,,,,,,,,,,,,,,,,,cephamycin
cpxA,cpxA,,,,1,1,1,,1,1,1,1,1,,1,,,,,1,,1,1,,,"aminocoumarin, aminoglycoside, phenicol, cephalosporin"
CRP,CRP,1,1,1,,,,,,,,,,1,,,,1,1,,,,,,,"fluoroquinolone, penam, macrolide"
CTX_M_1,CTX-M-1,,,,1,1,1,,1,1,1,1,,,,,,,,,,1,1,,,cephalosporin
CTX_M_115,CTX-M-115,,,,1,1,1,,1,1,1,1,,,,,,,,,,1,1,,,cephalosporin
CTX_M_15,CTX-M-15,,,,1,1,1,,1,1,1,1,,,,,,,,,,1,1,,,cephalosporin
dfrA1,dfrA1,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
dfrA12,dfrA12,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
dfrA15b,dfrA15b,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
dfrA23,dfrA23,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
dfrA30,dfrA30,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
dfrA32,dfrA32,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
dfrA7,dfrA7,,,,,,,,,,,,,,,,,,,,,,,,1,diaminopyrimidine
Enter_acrA,Enterobacter cloacae acrA,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, glycylcycline, fluoroquinolone antibiotic, phenicol antibiotic, diaminopyrimidine antibiotic, cephalosporin, rifamycin antibiotic, aminocoumarin antibiotic, acridine dye, aminoglycoside antibiotic, macrolide antibiotic, penam, monobactam, carbapenem, triclosan, antibacterial free fatty acids"
eptA,eptA,,,,,,,,,,,,,,,,,,,,,,,,,peptide antibiotic
Ecoli_acrA,Escherichia coli acrA,1,1,,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,,"tetracycline, phenicol, glycylcycline, penam, cephalosporin, rifamycin, fluoroquinolone, triclosan"
Ecoli_acrR,Escherichia coli acrR with mutation conferring multidrug antibiotic resistance,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, monobactam, aminoglycoside antibiotic, rifamycin antibiotic, diaminopyrimidine antibiotic, aminocoumarin antibiotic, cephalosporin, antibacterial free fatty acids, acridine dye, glycylcycline, fluoroquinolone antibiotic, phenicol antibiotic, penam, triclosan, carbapenem, macrolide antibiotic"
Ecoli_ampC_bl,Escherichia coli ampC beta-lactamase,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penam, cephalosporin"
Ecoli_ampC1_bl,Escherichia coli ampC1 beta-lactamase,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penam, cephalosporin"
Ecoli_ampH_bl,Escherichia coli ampH beta-lactamase,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"cephalosporin, penam"
Ecoli_CyaA,Escherichia coli CyaA with mutation conferring resistance to fosfomycin,,,,,,,,,,,,,,,,,,,,,,,,,fosfomycin
Ecoli_EF_Tu,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,,,,,,,,,,,,,,,,,,,,,,,,,elfamycin antibiotic
Ecoli_emrE,Escherichia coli emrE,,,1,,,,,,,,,,,,,,,,,,,,,,macrolide
Ecoli_GlpT,Escherichia coli GlpT with mutation conferring resistance to fosfomycin,,,,,,,,,,,,,,,,,,,,,,,,,fosfomycin
Ecoli_marR,Escherichia coli marR mutant conferring antibiotic resistance,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"tetracycline antibiotic, aminoglycoside antibiotic, triclosan, rifamycin antibiotic, diaminopyrimidine antibiotic, fluoroquinolone antibiotic, aminocoumarin antibiotic, cephalosporin, acridine dye, penam, glycylcycline, phenicol antibiotic, monobactam, macrolide antibiotic, antibacterial free fatty acids, carbapenem"
Ecoli_mdfA,Escherichia coli mdfA,,,,,,,,,,,,,,,,,,,,,,,1,,"tetracycline, benzalkonium chloride, rhodamine"
Ecoli_UhpT,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,,,,,,,,,,,,,,,,,,,,,,,,,fosfomycin
floR,floR,,,,,,,,,,,,1,,,,,,,,,,,,,phenicol
FosA2,FosA2,,,,,,,,,,,,,,,,,,,,,,,,,fosfomycin
FosA4,FosA4,,,,,,,,,,,,,,,,,,,,,,,,,fosfomycin
gadW,gadW,1,1,1,,,,,,,,,,1,,,,1,1,,,,,,,"macrolide, penam, fluoroquinolone"
gadX,gadX,1,1,1,,,,,,,,,,1,,,,1,1,,,,,,,"macrolide, penam, fluoroquinolone"
H_NS,H-NS,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,,,1,1,1,,"fluoroquinolone, macrolide, penam, cephamycin, cephalosporin, tetracycline"
IMP_7,IMP-7,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"penam, cephamycin, cephalosporin, penem, carbapenem"
kdpE,kdpE,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
Kleb_KpnH,Klebsiella pneumoniae KpnH,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,"peptide antibiotic, tetracycline antibiotic, aminoglycoside antibiotic, bicyclomycin, fluoroquinolone antibiotic, rhodamine, lincosamide antibiotic, penem, cephalosporin, penam, glycylcycline, macrolide antibiotic, antibacterial free fatty acids, carbapenem, benzalkonium chloride, nitroimidazole antibiotic, diaminopyrimidine antibiotic, oxazolidinone antibiotic, rifamycin antibiotic, isoniazid, acridine dye, fosfomycin, nucleoside antibiotic, phenicol antibiotic"
linG,linG,,,,,,,,,,,,,,,,,,,,,,,,,lincosamide
lnuC,lnuC,,,,,,,,,,,,,,,,,,,,,,,,,lincosamide
lnuG,lnuG,,,,,,,,,,,,,,,,,,,,,,,,,lincosamide
marA,marA,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,,"tetracycline, penem, penam, carbapenem, cephamycin, cephalosporin, rifamycin, phenicol, monobactam, glycylcycline, fluoroquinolone, triclosan"
mdtG,mdtG,,,,,,,,,,,,,,,,,,,,,,,,,fosfomycin
mdtH,mdtH,,,,,,,,,,,,,1,,,,1,,,,,,,,fluoroquinolone
mdtM,mdtM,,,,,,,,,,,,1,1,,,,1,,,,,,,,"nucleoside, phenicol, lincosamide, fluoroquinolone, acridine dye"
mefB,mef(B),,,1,,,,,,,,,,,,,,,,,,,,,,macrolide
MIR_12,MIR-12,,,,1,1,1,,1,1,1,1,,,,,,,,,,1,1,,,"monobactam, cephalosporin"
mphA,mphA,,,1,,,,,,,,,,,,,,,,,,,,,,macrolide
mphB,mphB,,,1,,,,,,,,,,,,,,,,,,,,,,macrolide
msbA,msbA,,,,,,,,,,,,,,,,,,,,,,,,,nitroimidazole
oqxA,oqxA,,,,,,,,,,,,,1,,,,1,,,,,,1,1,"tetracycline, diaminopyrimidine, glycylcycline, nitrofuran, fluoroquinolone"
OXA_228,OXA-228,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penam, cephalosporin"
OXA_67,OXA-67,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penam, cephalosporin"
OXA_78,OXA-78,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"cephalosporin, penam"
PBP3,,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,,,"penam, cephamycin, cephalosporin"
PmrF,PmrF,,,,,,,,,,,,,,,,,,,,,,,,,peptide antibiotic
qacH,qacH,,,,,,,,,,,,,1,,,,1,,,,,,,,fluoroquinolone
QnrB14,QnrB14,,,,,,,,,,,,,1,,,,1,,,,,,,,fluoroquinolone
QnrS1,QnrS1,,,,,,,,,,,,,1,,,,1,,,,,,,,fluoroquinolone
ramA,ramA,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,,"tetracycline, penem, cephamycin, cephalosporin, penam, carbapenem, phenicol, monobactam, rifamycin, glycylcycline, triclosan, fluoroquinolone"
Salm_cmlA,Salmonella enterica cmlA,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline antibiotic, antibacterial free fatty acids, glycylcycline, cephalosporin, benzalkonium chloride, fluoroquinolone antibiotic, bicyclomycin, diaminopyrimidine antibiotic, acridine dye, nucleoside antibiotic, rifamycin antibiotic, isoniazid, macrolide antibiotic, nitroimidazole antibiotic, oxazolidinone antibiotic, fosfomycin, penam, rhodamine, phenicol antibiotic, peptide antibiotic, lincosamide antibiotic"
Salm_gyrA,Salmonella enterica gyrA conferring resistance to fluoroquinolones,,,,,,,,,,,,,1,,,,1,,,,,,,,fluoroquinolone
SAT_2,SAT-2,,,,,,,,,,,,,,,,,,,,,,,,,streptothricin (nucleoside antibiotic)
sul1,sul1,,,,,,,,,,,,,,,,,,,,1,,,,1,"sulfonamide, sulfone"
sul2,sul2,,,,,,,,,,,,,,,,,,,,1,,,,1,"sulfonamide, sulfone"
sul3,sul3,,,,,,,,,,,,,,,,,,,,1,,,,1,"sulfonamide, sulfone"
TEM_1,TEM-1,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penem, cephalosporin, monobactam, penam"
Tem_116,TEM-116,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penam, monobactam, penem, cephalosporin"
TEM_81,TEM-2,1,1,,1,1,1,,1,1,1,1,,,,,,,1,,,1,1,,,"penem, penam, cephalosporin, monobactam"
tetA,tet(A),,,,,,,,,,,,,,,,,,,,,,,1,,"tetracycline, glycylcycline"
tetB,tet(B),,,,,,,,,,,,,,,,,,,,,,,1,,tetracycline antibiotic
tetD,tet(D),,,,,,,,,,,,,,,,,,,,,,,1,,tetracycline
tetWNW,tet(W/N/W),,,,,,,,,,,,,,,,,,,,,,,1,,tetracycline
tetR,tetR,,,,,,,,,,,,,,,,,,,,,,,1,," tetracycline antibiotic, glycylcycline"
TolC,TolC,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,1,1,1,,"tetracycline, cephalosporin, phenicol, fluoroquinolone, macrolide, rifamycin, aminocoumarin, penam, cephamycin, glycylcycline, triclosan"
ugd,ugd,,,,,,,,,,,,,,,,,,,,,,,,,peptide antibiotic
YojI,YojI,,,,,,,,,,,,,,,,,,,,,,,,,peptide antibiotic (microcin J25)
AcrEF_TolC,,1,1,,1,1,1,1,1,1,1,1,,1,,,,1,1,,,1,1,,,"fluoroquinolone antibiotic, cephalosporin, cephamycin, penam"
EmrAB_TolC,,,,,,,,,,,,,,1,,,,1,,,,,,,,fluoroquinolone
EmrKY_TolC,,,,,,,,,,,,,,,,,,,,,,,,1,,tetracycline
EvgSA,,1,1,1,,,,,,,,,,1,,,,1,1,,,,,1,,"fluoroquinolone, penam, tetracycline, macrolide"
KpnEF,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,"peptide antibiotic, tetracycline antibiotic, nitroimidazole antibiotic, bicyclomycin, fluoroquinolone antibiotic, aminoglycoside antibiotic, fosfomycin, diaminopyrimidine antibiotic, oxazolidinone antibiotic, phenicol antibiotic, antibacterial free fatty acids, macrolide antibiotic, acridine dye, penam, rifamycin antibiotic, benzalkonium chloride, cephalosporin, nucleoside antibiotic, rhodamine, lincosamide antibiotic, glycylcycline, isoniazid"
MdtABC_TolC,,,,,,,,,,,,,,,,,,,,,,,,,,aminocoumarin
MdtEF_TolC,,1,1,1,,,,,,,,,,1,,,,1,1,,,,,,,"fluoroquinolone, penam, macrolide"
MdtNOP,,,,,,,,,,,,,,,,,,,,,,,,,,"nucleoside, acridine dye"
SoxSR,,1,1,,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,,"tetracycline, fluoroquinolone, phenicol, rifamycin, glycylcycline, penam, cephalosporin, triclosan"
acrAB_TolC,,1,1,,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,,"tetracycline, penam, cephalosporin, glycylcycline, rifamycin, phenicol, triclosan, fluoroquinolone"
AdeFGH,,,,,,,,,,,,,1,1,,,,1,,,1,,,1,1,"fluoroquinolone, tetracycline, chloramphenicol, lincosamide, trimethoprim, and sulfamethoxazole."
